Statistic,4WIRE_END1_1_END2_1,4WIRE_END1_2_END2_2,4WIRE_END1_3_END2_3,4WIRE_END1_4_END2_4,4WIRE_END1_5_END2_5,4WIRE_END1_6_END2_6,4WIRE_END1_S_END2_S,WIRE_END1_1_END2_1,WIRE_END1_2_END2_2,WIRE_END1_3_END2_3,WIRE_END1_4_END2_4,WIRE_END1_5_END2_5,WIRE_END1_6_END2_6,WIRE_END1_S_END2_S
Unit,mOhm,mOhm,mOhm,mOhm,mOhm,mOhm,mOhm,Ohm,Ohm,Ohm,Ohm,Ohm,Ohm,Ohm
Count,321,321,321,321,321,321,321,321,321,321,321,321,321,321
Mean,194.3489,221.9875,221.0498,220.6885,223.1059,197.7632,35.1153,0.7003,0.7000,0.7000,0.7000,0.7925,0.7000,0.5240
Std Dev,2.0501,1.2796,2.1731,2.8912,4.0119,2.1199,0.7432,0.0056,0.0000,0.0000,0.0000,0.0263,0.0000,0.0428
Min,190.0000,219.0000,216.0000,215.0000,216.0000,194.0000,34.0000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0.5000
Max,203.0000,230.0000,225.0000,231.0000,231.0000,206.0000,38.0000,0.8000,0.7000,0.7000,0.7000,0.8000,0.7000,0.6000
Range,13.0000,11.0000,9.0000,16.0000,15.0000,12.0000,4.0000,0.1000,0.0000,0.0000,0.0000,0.1000,0.0000,0.1000
Lower Limit,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Upper Limit,320.0000,320.0000,320.0000,320.0000,320.0000,320.0000,320.0000,2.6000,2.6000,2.6000,2.6000,2.6000,2.6000,2.6000
Cpk (lower),None,None,None,None,None,None,None,None,None,None,None,None,None,None
Cpk (upper),20.4301,25.5323,15.1778,11.4500,8.0506,19.2210,127.7796,113.4524,2847833495103236.5000,2847833495103236.5000,2847833495103236.5000,22.8715,2847833495103236.5000,16.1806
