Statistic,"S2_1 | E1PA2A3-E2PB11B10 |  | Max | Range ( 0.01,  0.05)  GHz","S2_1 | E1PA2A3-E2PB11B10 |  | Min | Range ( 0.01,  0.05)  GHz","S2_1 | E1PB11B10-E2PA2A3 |  | Max | Range ( 0.01,  0.05)  GHz","S2_1 | E1PB11B10-E2PA2A3 |  | Min | Range ( 0.01,  0.05)  GHz","S4_3 | E1PA2A3-E2PB11B10 |  | Max | Range ( 0.01,  0.05)  GHz","S4_3 | E1PA2A3-E2PB11B10 |  | Min | Range ( 0.01,  0.05)  GHz","S4_3 | E1PB11B10-E2PA2A3 |  | Max | Range ( 0.01,  0.05)  GHz","S4_3 | E1PB11B10-E2PA2A3 |  | Min | Range ( 0.01,  0.05)  GHz","SCD12 | E1PA2A3-E2PB11B10 |  | Max | Range ( 0.01,  5.00)  GHz","SCD12 | E1PB11B10-E2PA2A3 |  | Max | Range ( 0.01,  5.00)  GHz","SCD21 | E1PA2A3-E2PB11B10 |  | Max | Range ( 0.01,  5.00)  GHz","SCD21 | E1PB11B10-E2PA2A3 |  | Max | Range ( 0.01,  5.00)  GHz","SDC12 | E1PA2A3-E2PB11B10 |  | Max | Range ( 0.01,  5.00)  GHz","SDC12 | E1PB11B10-E2PA2A3 |  | Max | Range ( 0.01,  5.00)  GHz","SDC21 | E1PA2A3-E2PB11B10 |  | Max | Range ( 0.01,  5.00)  GHz","SDC21 | E1PB11B10-E2PA2A3 |  | Max | Range ( 0.01,  5.00)  GHz","SDD11 | E1PA2A3-E2PB11B10 |  | Max | Range ( 0.01,  2.00)  GHz","SDD11 | E1PA2A3-E2PB11B10 |  | Max | Range ( 2.00,  2.50)  GHz","SDD11 | E1PB11B10-E2PA2A3 |  | Max | Range ( 0.01,  2.00)  GHz","SDD11 | E1PB11B10-E2PA2A3 |  | Max | Range ( 2.00,  2.50)  GHz","SDD22 | E1PA2A3-E2PB11B10 |  | Max | Range ( 0.01,  2.00)  GHz","SDD22 | E1PA2A3-E2PB11B10 |  | Max | Range ( 2.00,  2.50)  GHz","SDD22 | E1PB11B10-E2PA2A3 |  | Max | Range ( 0.01,  2.00)  GHz","SDD22 | E1PB11B10-E2PA2A3 |  | Max | Range ( 2.00,  2.50)  GHz","ZDD11 | E1PA2A3-E2PB11B10 | Foil Strip | Max | Range ( 0.20,  1.00)   ns","ZDD11 | E1PA2A3-E2PB11B10 | Foil Strip | Min | Range ( 0.20,  1.00)   ns","ZDD11 | E1PA2A3-E2PB11B10 | Plug Solder | Max | Range ( 0.00,  0.20)   ns","ZDD11 | E1PA2A3-E2PB11B10 | Plug Solder | Min | Range ( 0.00,  0.20)   ns","ZDD11 | E1PA2A3-E2PB11B10 | Raw Cable | Max | Range ( 1.00,  2.75)   ns","ZDD11 | E1PA2A3-E2PB11B10 | Raw Cable | Min | Range ( 1.00,  2.75)   ns","ZDD11 | E1PB11B10-E2PA2A3 | Foil Strip | Max | Range ( 0.20,  1.00)   ns","ZDD11 | E1PB11B10-E2PA2A3 | Foil Strip | Min | Range ( 0.20,  1.00)   ns","ZDD11 | E1PB11B10-E2PA2A3 | Plug Solder | Max | Range ( 0.00,  0.20)   ns","ZDD11 | E1PB11B10-E2PA2A3 | Plug Solder | Min | Range ( 0.00,  0.20)   ns","ZDD11 | E1PB11B10-E2PA2A3 | Raw Cable | Max | Range ( 1.00,  2.75)   ns","ZDD11 | E1PB11B10-E2PA2A3 | Raw Cable | Min | Range ( 1.00,  2.75)   ns","ZDD22 | E1PA2A3-E2PB11B10 | Foil Strip | Max | Range ( 0.20,  1.00)   ns","ZDD22 | E1PA2A3-E2PB11B10 | Foil Strip | Min | Range ( 0.20,  1.00)   ns","ZDD22 | E1PA2A3-E2PB11B10 | Plug Solder | Max | Range ( 0.00,  0.20)   ns","ZDD22 | E1PA2A3-E2PB11B10 | Plug Solder | Min | Range ( 0.00,  0.20)   ns","ZDD22 | E1PA2A3-E2PB11B10 | Raw Cable | Max | Range ( 1.00,  2.75)   ns","ZDD22 | E1PA2A3-E2PB11B10 | Raw Cable | Min | Range ( 1.00,  2.75)   ns","ZDD22 | E1PB11B10-E2PA2A3 | Foil Strip | Max | Range ( 0.20,  1.00)   ns","ZDD22 | E1PB11B10-E2PA2A3 | Foil Strip | Min | Range ( 0.20,  1.00)   ns","ZDD22 | E1PB11B10-E2PA2A3 | Plug Solder | Max | Range ( 0.00,  0.20)   ns","ZDD22 | E1PB11B10-E2PA2A3 | Plug Solder | Min | Range ( 0.00,  0.20)   ns","ZDD22 | E1PB11B10-E2PA2A3 | Raw Cable | Max | Range ( 1.00,  2.75)   ns","ZDD22 | E1PB11B10-E2PA2A3 | Raw Cable | Min | Range ( 1.00,  2.75)   ns"
Unit,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,GHz,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns
Count,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Mean,-0.3352,-1.8189,-0.3373,-1.8403,-0.3364,-1.8292,-0.3349,-1.8443,-32.5614,-32.0498,-33.5332,-32.5322,-33.8229,-32.6630,-32.5576,-31.9452,-18.6784,-16.6075,-18.6015,-18.2044,-18.6057,-16.7612,-18.6518,-17.7970,95.7450,85.3352,93.2412,87.6981,90.4210,89.5125,94.8837,85.1181,94.2755,90.5438,90.4094,89.3826,94.7244,85.3135,94.0503,89.6882,90.4765,89.5652,95.8154,85.6388,93.3532,88.5618,90.5891,89.6742
Std Dev,0.0098,0.2003,0.0105,0.1917,0.0093,0.1953,0.0098,0.1908,0.9784,1.5307,1.4177,1.1877,1.3775,1.1223,1.0239,1.5849,0.3944,0.6134,0.4284,0.8995,0.3959,0.6156,0.4465,0.6653,1.6101,0.4545,0.8402,0.0324,0.5133,0.5275,1.3664,0.4658,1.0318,0.0347,0.5508,0.5453,1.2540,0.5866,0.9387,0.1383,0.5295,0.5501,1.6742,0.4901,0.6662,0.0267,0.5721,0.5743
Min,-0.3520,-2.1100,-0.3540,-2.1250,-0.3500,-2.0800,-0.3500,-2.1210,-34.9960,-35.1970,-35.8890,-34.6260,-36.7360,-34.8960,-35.1940,-34.9790,-19.5820,-18.4560,-19.4620,-19.9400,-19.5660,-18.3320,-19.5560,-19.4220,92.7120,84.4410,91.7250,87.6330,89.5020,88.7240,92.5690,84.1730,92.5710,90.4060,89.2150,88.1460,92.0230,83.6050,91.9640,89.2230,89.6380,88.5370,93.1980,84.5500,91.9770,88.4940,89.2790,88.3870
Max,-0.3180,-1.3100,-0.3210,-1.2830,-0.3210,-1.3270,-0.3200,-1.2680,-30.4160,-27.6200,-29.5670,-29.5260,-29.5540,-30.2070,-30.4000,-27.4290,-18.0840,-15.2990,-17.6060,-16.0270,-18.0140,-15.5520,-17.6240,-16.0650,100.6980,86.5640,95.3160,87.8090,91.5640,90.8830,99.0130,86.2050,97.8310,90.6500,91.5330,90.4120,98.1230,86.7820,97.0370,89.8340,91.8650,91.0100,101.4380,86.9640,94.6100,88.6120,91.8630,91.0660
Range,0.0340,0.8000,0.0330,0.8420,0.0290,0.7530,0.0300,0.8530,4.5800,7.5770,6.3220,5.1000,7.1820,4.6890,4.7940,7.5500,1.4980,3.1570,1.8560,3.9130,1.5520,2.7800,1.9320,3.3570,7.9860,2.1230,3.5910,0.1760,2.0620,2.1590,6.4440,2.0320,5.2600,0.2440,2.3180,2.2660,6.1000,3.1770,5.0730,0.6110,2.2270,2.4730,8.2400,2.4140,2.6330,0.1180,2.5840,2.6790
Lower Limit,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,75.0000,75.0000,75.0000,75.0000,81.0000,81.0000,75.0000,75.0000,75.0000,75.0000,81.0000,81.0000,75.0000,75.0000,75.0000,75.0000,81.0000,81.0000,75.0000,75.0000,75.0000,75.0000,81.0000,81.0000
Upper Limit,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.0000,-17.0000,-17.0000,-17.0000,-17.0000,-17.0000,-17.0000,-17.0000,-10.0000,-5.0000,-10.0000,-5.0000,-10.0000,-5.0000,-10.0000,-5.0000,105.0000,105.0000,105.0000,105.0000,99.0000,99.0000,105.0000,105.0000,105.0000,105.0000,99.0000,99.0000,105.0000,105.0000,105.0000,105.0000,99.0000,99.0000,105.0000,105.0000,105.0000,105.0000,99.0000,99.0000
Cpk (lower),159.0427,5.2952,147.3684,5.4951,167.5534,5.4107,158.9889,5.5117,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.2947,7.5801,7.2367,130.6837,6.1179,5.3796,4.8508,7.2401,6.2273,149.2905,5.6939,5.1243,5.2429,5.8609,6.7650,35.3937,5.9656,5.1897,4.1443,7.2363,9.1824,169.3987,5.5873,5.0345
